Données validées
Dates ;CINQAV - CO2 Mars_Longchamp ppmv      ;;CINQAV - PM10 FIDAS CINQAV microg/m3 ;;CINQAV - PM25 FIDAS 5AV microg/m3 ;;CINQAV - PM1 FIDAS CINQAV microg/m3 ;
17/12/2025 01:00;484.21;A;20.0;A;16.5;A;14.8;A
17/12/2025 02:00;479.92;A;14.7;A;11.3;A;10.0;A
17/12/2025 03:00;474.85;A;12.8;A;9.6;A;8.4;A
17/12/2025 04:00;484.49;A;11.9;A;9.1;A;7.9;A
17/12/2025 05:00;476.25;A;11.1;A;7.9;A;6.7;A
17/12/2025 06:00;485.13;A;11.4;A;7.8;A;6.6;A
17/12/2025 07:00;491.05;A;12.2;A;7.8;A;6.5;A
17/12/2025 08:00;535.86;A;22.5;A;11.9;A;9.1;A
17/12/2025 09:00;542.03;A;32.4;A;15.3;A;11.2;A
17/12/2025 10:00;475.95;A;24.7;A;10.3;A;7.2;A
17/12/2025 11:00;451.25;A;18.3;A;7.0;A;3.9;A
17/12/2025 12:00;444.84;A;14.5;A;6.1;A;3.1;A
17/12/2025 13:00;442.50;A;15.0;A;5.9;A;2.8;A
17/12/2025 14:00;446.28;A;22.8;A;7.4;A;3.6;A
17/12/2025 15:00;446.35;A;17.0;A;6.6;A;3.3;A
17/12/2025 16:00;445.15;A;9.5;A;4.7;A;2.2;A
17/12/2025 17:00;451.32;A;13.9;A;6.3;A;3.4;A
17/12/2025 18:00;469.05;A;15.7;A;8.8;A;5.8;A
17/12/2025 19:00;488.03;A;32.5;A;21.8;A;17.7;A
17/12/2025 20:00;482.42;A;33.2;A;24.6;A;20.7;A
17/12/2025 21:00;483.11;A;36.3;A;28.6;A;24.7;A
17/12/2025 22:00;475.75;A;34.6;A;27.5;A;23.8;A
17/12/2025 23:00;467.98;A;26.3;A;19.5;A;16.4;A
17/12/2025 24:00;465.76;A;23.3;A;17.5;A;14.5;A
18/12/2025 01:00;461.71;A;19.1;A;13.5;A;11.0;A
18/12/2025 02:00;457.81;A;17.1;A;10.9;A;8.3;A
18/12/2025 03:00;459.37;A;16.7;A;11.1;A;8.6;A
18/12/2025 04:00;460.62;A;15.9;A;9.8;A;7.3;A
18/12/2025 05:00;459.12;A;14.1;A;9.5;A;7.4;A
18/12/2025 06:00;453.22;A;13.1;A;7.2;A;5.0;A
18/12/2025 07:00;456.14;A;12.4;A;6.8;A;4.8;A
18/12/2025 08:00;461.53;A;14.2;A;7.6;A;5.5;A
18/12/2025 09:00;456.32;A;16.6;A;8.8;A;6.3;A
18/12/2025 10:00;444.50;A;14.8;A;6.6;A;3.9;A
18/12/2025 11:00;438.91;A;15.6;A;6.3;A;3.4;A
18/12/2025 12:00;435.08;A;12.6;A;5.0;A;2.5;A
18/12/2025 13:00;434.39;A;12.4;A;4.5;A;2.1;A
18/12/2025 14:00;434.73;A;12.6;A;4.4;A;2.1;A
18/12/2025 15:00;435.76;A;12.4;A;4.4;A;2.1;A
18/12/2025 16:00;438.55;A;12.6;A;4.7;A;2.4;A
18/12/2025 17:00;439.55;A;12.9;A;4.7;A;2.5;A
18/12/2025 18:00;440.01;A;9.9;A;4.0;A;2.2;A
18/12/2025 19:00;440.13;A;8.2;A;3.8;A;2.3;A
18/12/2025 20:00;439.17;A;8.7;A;4.0;A;2.4;A
18/12/2025 21:00;440.01;A;10.3;A;4.7;A;2.7;A
18/12/2025 22:00;439.16;A;13.0;A;5.8;A;3.1;A
18/12/2025 23:00;439.01;A;14.3;A;6.3;A;3.3;A
18/12/2025 24:00;438.58;A;14.2;A;6.4;A;3.2;A
19/12/2025 01:00;438.90;A;13.7;A;6.3;A;3.1;A
19/12/2025 02:00;437.70;A;13.0;A;6.2;A;3.1;A
19/12/2025 03:00;437.30;A;14.3;A;6.0;A;2.8;A
19/12/2025 04:00;436.41;A;15.7;A;6.3;A;2.8;A
19/12/2025 05:00;436.63;A;14.6;A;6.2;A;2.7;A
19/12/2025 06:00;436.93;A;16.5;A;6.6;A;2.8;A
19/12/2025 07:00;437.46;A;14.9;A;6.5;A;2.9;A
19/12/2025 08:00;440.57;A;12.1;A;6.0;A;3.1;A
19/12/2025 09:00;440.58;A;9.9;A;4.7;A;2.7;A
19/12/2025 10:00;439.64;A;7.7;A;3.8;A;2.2;A
19/12/2025 11:00;439.40;A;6.7;A;3.9;A;2.5;A
19/12/2025 12:00;439.46;A;7.4;A;4.4;A;3.0;A
19/12/2025 13:00;435.87;A;8.2;A;4.5;A;3.2;A
19/12/2025 14:00;434.69;A;6.2;A;3.5;A;2.5;A
19/12/2025 15:00;436.39;A;6.5;A;3.8;A;2.7;A
19/12/2025 16:00;438.74;A;8.2;A;4.7;A;3.3;A
19/12/2025 17:00;438.78;A;10.3;A;5.9;A;4.2;A
19/12/2025 18:00;437.32;A;10.1;A;5.7;A;3.8;A
19/12/2025 19:00;438.53;A;11.3;A;7.0;A;5.0;A
19/12/2025 20:00;437.86;A;14.3;A;9.9;A;7.8;A
19/12/2025 21:00;436.45;A;10.7;A;6.3;A;4.4;A
19/12/2025 22:00;437.31;A;10.1;A;5.9;A;4.0;A
19/12/2025 23:00;437.22;A;9.8;A;5.7;A;3.8;A
19/12/2025 24:00;436.47;A;8.5;A;5.1;A;3.5;A
20/12/2025 01:00;437.91;A;8.9;A;5.2;A;3.6;A
20/12/2025 02:00;437.80;A;8.5;A;5.4;A;3.7;A
20/12/2025 03:00;441.96;A;9.4;A;5.7;A;4.0;A
20/12/2025 04:00;440.31;A;9.0;A;5.0;A;3.3;A
